Date,Open,High,Low,Close,Adj Close,Volume,20_day,50_day,,
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.101261,469033600,0.13858815,0.1325781,,
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.095978,175884800,0.1389788,0.1322656,,
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.088934,105728000,0.13973215,0.1321205,,
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.091135,86441600,0.14107145,0.13223212,,
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.093777,73449600,0.14221545,0.1322991,,
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.0995,48630400,0.1436105,0.13226562,,
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.104343,37363200,0.14441965,0.13206472,,
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.108746,46950400,0.1450614,0.1317299,,
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.114469,48003200,0.1455078,0.13126114,,
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.125035,55574400,0.1455636,0.13046874,,
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.126796,93161600,0.14483815,0.12930802,,
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.123715,68880000,0.1439453,0.12802454,, 
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.120193,35750400,0.14302455,0.1268973,,
1/2/1981,0.154018,0.155134,0.154018,0.154018,0.121513,21660800,0.1420759,0.12583702,,
1/5/1981,0.151228,0.151228,0.15067,0.15067,0.118872,35728000,0.1406808,0.1248214,,
1/6/1981,0.144531,0.144531,0.143973,0.143973,0.113588,45158400,0.1390904,0.12397318,,
1/7/1981,0.138393,0.138393,0.137835,0.137835,0.108746,55686400,0.13805805,0.12339282,,
1/8/1981,0.135603,0.135603,0.135045,0.135045,0.106544,39827200,0.1375558,0.1229129,,
1/9/1981,0.142299,0.142857,0.142299,0.142299,0.112268,21504000,0.13719305,0.1225111,,
1/12/1981,0.142299,0.142299,0.141183,0.141183,0.111387,23699200,0.1364955,0.12205352,,
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.107425,23049600,0.13551895,0.1216071,,
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.107865,14291200,0.1347935,0.12121646,,
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.110066,14067200,0.13384485,0.12077002,,
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.109186,13395200,0.13270085,0.12018966,,
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.11579,41574400,0.13147315,0.11963162,,
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.112268,30083200,0.12996645,0.11888386,,
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.114469,15904000,0.1289341,0.11820306,,
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.11579,35548800,0.1273995,0.1176562,,
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.11535,11222400,0.1254743,0.11708702,,
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.113588,24640000,0.1236607,0.11648434,,
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.112708,23699200,0.1217634,0.11590398,,
