Open,High,Low,Close,Volume,20_day,50_day,b,h,s
0.108817,0.108817,0.108259,0.108259,34070400,0.12128905,0.1283482,0,1,0
0.117746,0.118304,0.117746,0.117746,31404800,0.1222098,0.1290848,0,1,0
0.118304,0.118862,0.118304,0.118304,16486400,0.1226562,0.1296205,0,1,0
0.116629,0.116629,0.116071,0.116071,22803200,0.1230468,0.13008924,0,1,0
0.115513,0.115513,0.114955,0.114955,10684800,0.12352115,0.130558,0,1,0
0.120536,0.121652,0.120536,0.120536,21952000,0.1238839,0.13103792,0,1,0
0.122768,0.123326,0.122768,0.122768,12499200,0.1240513,0.1313281,0,1,0
0.124442,0.125,0.124442,0.124442,33465600,0.1241629,0.13147318,0,1,0
0.124442,0.125,0.124442,0.124442,16060800,0.1240513,0.13162942,0,1,0
0.124442,0.125,0.124442,0.124442,6652800,0.1239397,0.1317187,0,1,0
0.118862,0.118862,0.118304,0.118304,34048000,0.1238002,0.13186378,0,1,0
0.112165,0.112165,0.111607,0.111607,23878400,0.1238839,0.13209814,0,1,0
0.114955,0.115513,0.114955,0.114955,35347200,0.12444195,0.13237716,0,1,0
0.122768,0.123326,0.122768,0.122768,28537600,0.1249442,0.13239948,0,1,0
0.127232,0.12779,0.127232,0.127232,18995200,0.1249442,0.13224322,0,1,0
0.13058,0.131138,0.13058,0.13058,58016000,0.1249163,0.13199768,0,1,0
0.13058,0.13058,0.129464,0.129464,35056000,0.12508375,0.13160706,0,1,0
0.128906,0.128906,0.128348,0.128348,38528000,0.1256139,0.13126108,0,1,0
0.126674,0.126674,0.126116,0.126116,32188800,0.12617195,0.1310267,0,1,0
0.125,0.125,0.124442,0.124442,13641600,0.1272322,0.1306584,0,1,0
0.126674,0.12779,0.126674,0.126674,12611200,0.12837615,0.13015616,0,1,0
0.126674,0.12779,0.126674,0.126674,16553600,0.1294364,0.12965394,0,1,0
0.126674,0.126674,0.126116,0.126116,14448000,0.13049665,0.129241,0,1,0
0.126116,0.126116,0.125558,0.125558,17539200,0.1312221,0.12889502,0,1,0
0.122768,0.122768,0.12221,0.12221,18950400,0.13197545,0.128616,0,1,0
0.123884,0.124442,0.123884,0.123884,9363200,0.1330357,0.12848206,0,1,0
0.125,0.125558,0.125,0.125,7907200,0.13390065,0.1281584,0,1,0
0.122768,0.122768,0.12221,0.12221,11939200,0.1344587,0.12780126,0,1,0
0.12221,0.123884,0.12221,0.12221,4256000,0.13529575,0.12737714,0,1,0
0.12221,0.123326,0.121652,0.121652,4905600,0.1362165,0.12700884,0,1,0
0.121094,0.121094,0.119978,0.119978,4928000,0.13747205,0.12671866,0,1,0
0.122768,0.124442,0.122768,0.122768,4905600,0.1387276,0.12655124,0,1,0
0.125,0.126116,0.125,0.125,4166400,0.13981575,0.1262499,0,1,0
0.123326,0.123326,0.122768,0.122768,25424000,0.1406528,0.12587044,0,1,0
0.126674,0.12779,0.126674,0.126674,13283200,0.14148985,0.12561374,0,1,0
0.133929,0.134487,0.133929,0.133929,32211200,0.1421037,0.1253124,0,1,0
0.140067,0.141183,0.140067,0.140067,31427200,0.1421595,0.12484364,0,1,0
0.140067,0.140067,0.139509,0.139509,85344000,0.14165725,0.1242856,0,1,0
0.147321,0.147879,0.147321,0.147321,149497600,0.1412945,0.12380568,0,1,0
0.147321,0.147879,0.147321,0.147321,73987200,0.14037375,0.12311372,0,1,0
0.147879,0.148438,0.147879,0.147879,59382400,0.1395925,0.12242176,0,1,0
0.147879,0.148438,0.147879,0.147879,51251200,0.13869965,0.121902224,0,1,0
0.141183,0.141183,0.140625,0.140625,40432000,0.1375836,0.121116429,0,1,0
0.140625,0.141741,0.140625,0.140625,39446400,0.1363559,0.120433122,0,1,0
0.143415,0.143973,0.143415,0.143415,56067200,0.1350724,0.11968149,0,1,0
0.141741,0.141741,0.141183,0.141183,57680000,0.1336494,0.118838755,0,1,0
0.136719,0.136719,0.136161,0.136161,93497600,0.1321427,0.117973224,0,1,0
0.138951,0.139509,0.138951,0.138951,119593600,0.1309429,0.117164633,0,1,0
0.140625,0.142299,0.140625,0.140625,25222400,0.1298268,0.116276327,0,1,0
0.146763,0.147321,0.146763,0.146763,38976000,0.1281806,0.115376633,0,1,0
0.145647,0.145647,0.145089,0.145089,25804800,0.12580895,0.11421502,0,1,0
0.145089,0.145089,0.144531,0.144531,143763200,0.12363265,0.112973673,0,1,0
0.142299,0.142299,0.141741,0.141741,37251200,0.12170745,0.111789286,0,1,0
0.140067,0.140067,0.139509,0.139509,27574400,0.12006125,0.110627653,0,1,0
0.139509,0.140067,0.138951,0.138951,23049600,0.11866615,0.109522959,0,1,0
0.135603,0.135603,0.135045,0.135045,27507200,0.11749425,0.108520776,0,1,0
0.13058,0.13058,0.130022,0.130022,10841600,0.11612705,0.107598306,0,1,0
0.132254,0.133371,0.132254,0.132254,15030400,0.1149831,0.106892224,0,1,0
