,Open,High,Low,Close,Volume,20_day,50_day,y_target
4464,0.337054,0.366071,0.33370500000000003,0.34821399999999997,1759475200,0.34422435,0.3338616,h
4465,0.35491100000000003,0.36551300000000003,0.352539,0.35770100000000005,689774400,0.3434989,0.33352678,s
4466,0.356585,0.36383899999999997,0.351563,0.352121,390779200,0.34263395,0.33293526,s
4467,0.363281,0.36383899999999997,0.352679,0.361607,450777600,0.3418248,0.33223212,s
4468,0.366071,0.382254,0.356027,0.374442,930876800,0.340346,0.33168524,s
4469,0.378906,0.387277,0.377232,0.38002199999999997,605953600,0.3386719,0.33049104,s
4470,0.388393,0.390625,0.366071,0.366071,485990400,0.33632815,0.32946426,s
4471,0.366071,0.367188,0.359375,0.362723,391921600,0.33409605,0.32864954,s
4472,0.357143,0.38895100000000005,0.34821399999999997,0.383929,813377600,0.33236615,0.32802454,s
4473,0.387835,0.388393,0.358259,0.367746,610176000,0.32965965,0.32706472,s
4474,0.378348,0.378348,0.359933,0.36439699999999997,495566400,0.32779020000000003,0.32646204,h
4475,0.356027,0.367188,0.352679,0.360491,406481600,0.32667415,0.32608258,h
4476,0.350446,0.350446,0.31808000000000003,0.334821,1114243200,0.3258371,0.32569196,h
4477,0.331473,0.34375,0.304688,0.305246,932254400,0.32639515,0.32579242,h
4478,0.310268,0.311384,0.27678600000000003,0.27846,868224000,0.32857145,0.32622768,h
4479,0.280134,0.315848,0.273438,0.304688,869075200,0.33228240000000003,0.3269308,h
4480,0.31696399999999997,0.33370500000000003,0.314732,0.31752199999999997,843001600,0.3340681,0.32683034,h
4481,0.3125,0.313616,0.303571,0.309152,409752000,0.33412390000000003,0.32655132,h
4482,0.31696399999999997,0.325335,0.30133899999999997,0.313616,377272000,0.3343192,0.32674104,s
4483,0.33928600000000003,0.341518,0.328125,0.341518,402796800,0.3330078,0.3268973,s
4484,0.339844,0.340402,0.330357,0.33370500000000003,354692800,0.33046875,0.32628346,s
4485,0.32366100000000003,0.341518,0.319196,0.340402,526881600,0.3280413,0.32593748,s
4486,0.34375,0.35379499999999997,0.329241,0.335938,352284800,0.3247768,0.32551336,s
4487,0.341518,0.34654,0.331473,0.332031,247072000,0.3236607,0.3251004,s
4488,0.328125,0.344308,0.325893,0.34096,433652800,0.3237723,0.32493299999999997,s
4489,0.344866,0.345982,0.330357,0.33314699999999997,258876800,0.3240234,0.32453122,s
4490,0.32198699999999997,0.331473,0.320313,0.321429,269292800,0.3240513,0.3241406,s
4491,0.32198699999999997,0.328125,0.31752199999999997,0.328125,305076800,0.3243303,0.32397318,h
4492,0.31863800000000003,0.32979899999999995,0.31529,0.32979899999999995,295870400,0.32430240000000005,0.3231138,s
4493,0.331473,0.335938,0.324777,0.330357,257936000,0.3245535,0.32261158,s
4494,0.33258899999999997,0.342634,0.32645100000000005,0.34207600000000005,287918400,0.324135,0.32243302,s
4495,0.33816999999999997,0.35323699999999997,0.337054,0.34375,482843200,0.32360485,0.32160712,s
4496,0.34096,0.34988800000000003,0.335938,0.345982,228289600,0.3228236,0.32058034,s
